x,y,thickness
0,0,3.18E-08
0.0919988,0.020701,3.18E-08
0.1882394,0.0787654,3.18E-08
0.2821178,0.1405128,3.18E-08
0.3739896,0.2052574,3.18E-08
0.4642866,0.272161,3.18E-08
0.5530088,0.3411474,3.18E-08
0.6404356,0.4117594,3.18E-08
0.7267194,0.4837684,3.18E-08
0.8137398,0.5694934,3.18E-08
0.9007602,0.655193,3.18E-08
0.637286,0.9246616,3.18E-08
0.5782056,0.8782304,3.18E-08
0.5182616,0.832866,3.18E-08
0.457327,0.7888478,3.18E-08
0.3954018,0.746252,3.18E-08
0.332486,0.705104,3.18E-08
0.2683764,0.6659118,3.18E-08
0.2030476,0.6287516,3.18E-08
0.1366012,0.593598,3.18E-08
0.0688848,0.560959,3.18E-08
0,0.5309108,3.18E-08
0.102743,0.5772785,3.18E-08
0.4191381,0.2387092,3.18E-08
0.0344424,0.5459349,3.18E-08
0.3280537,0.1728851,3.18E-08
0,0.47781972,3.18E-08
0,0.42472864,3.18E-08
0,0.37163756,3.18E-08
0,0.31854648,3.18E-08
0,0.2654554,3.18E-08
0,0.21236432,3.18E-08
0,0.15927324,3.18E-08
0,0.10618216,3.18E-08
0,0.05309108,3.18E-08
0.1698244,0.6111748,3.18E-08
0.2351786,0.1096391,3.18E-08
0.5086477,0.3066542,3.18E-08
0.1401191,0.0497332,3.18E-08
0.235712,0.6473317,3.18E-08
0.0459994,0.0103505,3.18E-08
0.5967222,0.3764534,3.18E-08
0.3004312,0.6855079,3.18E-08
0.3639439,0.725678,3.18E-08
0.6835775,0.4477639,3.18E-08
0.4263644,0.7675499,3.18E-08
0.7702296,0.5266309,3.18E-08
0.4877943,0.8108569,3.18E-08
0.85725,0.6123432,3.18E-08
0.5482336,0.8555482,3.18E-08
0.863121029,0.693688514,3.18E-08
0.825481857,0.732184029,3.18E-08
0.787842686,0.770679543,3.18E-08
0.750203514,0.809175057,3.18E-08
0.712564343,0.847670571,3.18E-08
0.674925171,0.886166086,3.18E-08
0.6077458,0.901446,3.18E-08
0.240883748,0.390796648,3.18E-08
0.754855952,0.670375934,3.18E-08
0.104493725,0.072662438,3.18E-08
0.328585862,0.605274883,3.18E-08
0.676270153,0.501861773,3.18E-08
0.632317047,0.463856078,3.18E-08
0.590779216,0.430038018,3.18E-08
0.716457415,0.540242233,3.18E-08
0.545210106,0.393998454,3.18E-08
0.758055953,0.580184868,3.18E-08
0.503609262,0.36045713,3.18E-08
0.797545506,0.627280391,3.18E-08
0.457897607,0.324602944,3.18E-08
0.845769815,0.654699862,3.18E-08
0.414930591,0.293188137,3.18E-08
0.368874699,0.257760664,3.18E-08
0.325725975,0.226614764,3.18E-08
0.772134927,0.720094461,3.18E-08
0.277240936,0.194871405,3.18E-08
0.735685007,0.757330821,3.18E-08
0.234554501,0.163430872,3.18E-08
0.698045835,0.795826336,3.18E-08
0.187353298,0.131206661,3.18E-08
0.662459033,0.834547603,3.18E-08
0.142631769,0.100191655,3.18E-08
0.630025537,0.869985653,3.18E-08
0.055489693,0.072031497,3.18E-08
0.569146987,0.824337452,3.18E-08
0.534835811,0.791496735,3.18E-08
0.047031831,0.132784184,3.18E-08
0.498544214,0.76788313,3.18E-08
0.04523746,0.187103679,3.18E-08
0.464878032,0.744765545,3.18E-08
0.045978224,0.23890986,3.18E-08
0.433509477,0.722305184,3.18E-08
0.045978224,0.29200094,3.18E-08
0.398617173,0.707962435,3.18E-08
0.045978224,0.34509202,3.18E-08
0.373098371,0.681319274,3.18E-08
0.045978224,0.3981831,3.18E-08
0.34043457,0.659971451,3.18E-08
0.046404159,0.45257317,3.18E-08
0.303170528,0.64731829,3.18E-08
0.050151492,0.510065819,3.18E-08
0.274858923,0.621066719,3.18E-08
0.242641018,0.600721885,3.18E-08
0.20821344,0.582023307,3.18E-08
0.098901392,0.529055594,3.18E-08
0.173435538,0.563914443,3.18E-08
0.136909231,0.546348072,3.18E-08
0.809144052,0.683199729,3.18E-08
0.663969784,0.555441303,3.18E-08
0.62289798,0.519167564,3.18E-08
0.582687235,0.482396125,3.18E-08
0.538425993,0.449394737,3.18E-08
0.703319922,0.594640607,3.18E-08
0.495758142,0.412763907,3.18E-08
0.741258381,0.625303503,3.18E-08
0.451132966,0.380294124,3.18E-08
0.409536392,0.345657023,3.18E-08
0.36368926,0.312867293,3.18E-08
0.320650489,0.279107725,3.18E-08
0.275233161,0.250837977,3.18E-08
0.718942814,0.707235349,3.18E-08
0.22895523,0.215730632,3.18E-08
0.683057424,0.74631059,3.18E-08
0.18331694,0.184341185,3.18E-08
0.644625598,0.783556017,3.18E-08
0.139140261,0.149207826,3.18E-08
0.611830186,0.827771046,3.18E-08
0.58869532,0.772217348,3.18E-08
0.540968799,0.741061317,3.18E-08
0.091420102,0.166590154,3.18E-08
0.500223503,0.726057849,3.18E-08
0.088196945,0.216023007,3.18E-08
0.471692948,0.695179831,3.18E-08
0.08801171,0.266547918,3.18E-08
0.425457435,0.667433304,3.18E-08
0.091447888,0.31854648,3.18E-08
0.091447888,0.37163756,3.18E-08
0.379674,0.632333354,3.18E-08
0.091804277,0.423118979,3.18E-08
0.281828151,0.426491158,3.18E-08
0.09264802,0.476162219,3.18E-08
0.228152251,0.438427417,3.18E-08
0.286925884,0.576318926,3.18E-08
0.250059916,0.553373389,3.18E-08
0.213094068,0.534770058,3.18E-08
0.136826285,0.496033324,3.18E-08
0.176016972,0.515799546,3.18E-08
0.092932543,0.116072068,3.18E-08
0.651237799,0.610862062,3.18E-08
0.61435446,0.569712773,3.18E-08
0.574512396,0.53491943,3.18E-08
0.531889087,0.503407331,3.18E-08
0.487787353,0.46899198,3.18E-08
0.693466002,0.654973406,3.18E-08
0.443360969,0.43579579,3.18E-08
0.398908283,0.402962466,3.18E-08
0.354776649,0.36742876,3.18E-08
0.314064639,0.331913134,3.18E-08
0.270098479,0.301851329,3.18E-08
0.224604985,0.274256688,3.18E-08
0.670482682,0.700657824,3.18E-08
0.174109733,0.244189849,3.18E-08
0.631404296,0.728950409,3.18E-08
0.136388539,0.198944593,3.18E-08
0.582894146,0.709623584,3.18E-08
0.527658009,0.684395965,3.18E-08
0.479734401,0.642858981,3.18E-08
0.134950264,0.286993495,3.18E-08
0.430280455,0.608566221,3.18E-08
0.136909858,0.342772811,3.18E-08
0.138028515,0.393857322,3.18E-08
0.382641933,0.57800743,3.18E-08
0.137324627,0.445370469,3.18E-08
0.338590281,0.550423334,3.18E-08
0.255502205,0.505414195,3.18E-08
0.217702233,0.487944898,3.18E-08
0.180274445,0.466138764,3.18E-08
0.124717883,0.24241051,3.18E-08
0.297142329,0.525069914,3.18E-08
0.596102895,0.619191799,3.18E-08
0.630138833,0.667575093,3.18E-08
0.569183321,0.580692039,3.18E-08
0.526424572,0.5592046,3.18E-08
0.482961811,0.525836064,3.18E-08
0.437747784,0.491292191,3.18E-08
0.392541129,0.461672717,3.18E-08
0.34071417,0.429435021,3.18E-08
0.30066962,0.38335638,3.18E-08
0.269631445,0.348339578,3.18E-08
0.225242801,0.332953469,3.18E-08
0.180126723,0.306849024,3.18E-08
0.574662303,0.660366652,3.18E-08
0.535984454,0.619148837,3.18E-08
0.481566599,0.584802251,3.18E-08
0.434205936,0.549739371,3.18E-08
0.184754713,0.364719451,3.18E-08
0.185327497,0.415754552,3.18E-08
0.388498303,0.52058446,3.18E-08
0.257350631,0.464928103,3.18E-08
0.344513115,0.492555213,3.18E-08
0.302081737,0.472011229,3.18E-08
0.182800971,0.440946658,3.18E-08
0.158799536,0.455754616,3.18E-08
0.161326062,0.43056251,3.18E-08
0.630771564,0.698262751,3.18E-08
0.607149221,0.719286996,3.18E-08
0.60651649,0.688599338,3.18E-08
0.578778225,0.684995118,3.18E-08
0.602400568,0.663970872,3.18E-08
0.137676571,0.419613895,3.18E-08
0.161678006,0.404805937,3.18E-08
0.213105622,0.4032756,3.18E-08
0.185041105,0.390237002,3.18E-08
0.21281923,0.37775805,3.18E-08
0.415144456,0.476482454,3.18E-08
0.417951049,0.448734253,3.18E-08
0.440554376,0.46354399,3.18E-08
0.385570118,0.549295945,3.18E-08
0.360616107,0.564215382,3.18E-08
0.363544292,0.535503897,3.18E-08
0.798808392,0.726139245,3.18E-08
0.806662271,0.751431786,3.18E-08
0.779988806,0.745387002,3.18E-08
0.177118228,0.275519437,3.18E-08
0.199357359,0.259223269,3.18E-08
0.202365854,0.290552856,3.18E-08
0.368521135,0.703498637,3.18E-08
0.34821495,0.715391,3.18E-08
0.352792185,0.693211637,3.18E-08
0.15851829,0.324810918,3.18E-08
0.135930061,0.314883153,3.18E-08
0.157538494,0.29692126,3.18E-08
0.640688316,0.639218577,3.18E-08
0.672351901,0.632917734,3.18E-08
0.661802418,0.661274249,3.18E-08
0.555276078,0.697009774,3.18E-08
0.551160156,0.672381308,3.18E-08
0.30736713,0.357634757,3.18E-08
0.334420644,0.349670947,3.18E-08
0.327723135,0.37539257,3.18E-08
0.285150533,0.365847979,3.18E-08
0.291848042,0.340126356,3.18E-08
0.457886267,0.567270811,3.18E-08
0.455923527,0.596684236,3.18E-08
0.432243195,0.579152796,3.18E-08
0.458583873,0.537787718,3.18E-08
0.482264205,0.555319158,3.18E-08
0.593750708,0.403245709,3.18E-08
0.6185789,0.3941064,3.18E-08
0.615607408,0.420898709,3.18E-08
0.77780073,0.60373263,3.18E-08
0.785897876,0.574839134,3.18E-08
0.805642653,0.598386896,3.18E-08
0.817312954,0.707691879,3.18E-08
0.790639489,0.701647095,3.18E-08
0.255257596,0.369568113,3.18E-08
0.270776684,0.387076514,3.18E-08
0.204213348,0.45228309,3.18E-08
0.206739874,0.427090985,3.18E-08
0.52915683,0.531305966,3.18E-08
0.553200742,0.519163381,3.18E-08
0.550468484,0.547062015,3.18E-08
0.571847858,0.557805735,3.18E-08
0.547803946,0.56994832,3.18E-08
0.366505709,0.506569837,3.18E-08
0.341551698,0.521489273,3.18E-08
0.462767568,0.480142085,3.18E-08
0.485374582,0.497414022,3.18E-08
0.460354797,0.508564128,3.18E-08
0.224923893,0.303605078,3.18E-08
0.247351732,0.288054009,3.18E-08
0.24767064,0.317402399,3.18E-08
0.098246262,0.046681719,3.18E-08
0.11605895,0.0352171,3.18E-08
0.122306412,0.061197819,3.18E-08
0.8354949,0.5909183,3.18E-08
0.827397753,0.619811796,3.18E-08
0.269864962,0.325095453,3.18E-08
0.247437123,0.340646523,3.18E-08
0.022989112,0.25218263,3.18E-08
0,0.23890986,3.18E-08
0.022989112,0.22563709,3.18E-08
0.130553211,0.220677551,3.18E-08
0.155249136,0.221567221,3.18E-08
0.149413808,0.243300179,3.18E-08
0.154529998,0.265591672,3.18E-08
0.129834074,0.264702002,3.18E-08
0.079991709,0.072346968,3.18E-08
0.073744246,0.046366249,3.18E-08
0.552583887,0.599920438,3.18E-08
0.582643108,0.599941919,3.18E-08
0.566043674,0.619170318,3.18E-08
0.507859427,0.631003909,3.18E-08
0.4806505,0.613830616,3.18E-08
0.508775526,0.601975544,3.18E-08
0.406461194,0.593286826,3.18E-08
0.408423934,0.563873401,3.18E-08
0.504693192,0.542520332,3.18E-08
0.503995585,0.572003426,3.18E-08
0.234517999,0.414612033,3.18E-08
0.261355949,0.408643903,3.18E-08
0.254990201,0.432459288,3.18E-08
0.291248886,0.404923769,3.18E-08
0.721588407,0.512005317,3.18E-08
0.7484745,0.50519965,3.18E-08
0.743343507,0.533436567,3.18E-08
0.531204513,0.589176719,3.18E-08
0.320691895,0.406395701,3.18E-08
0.311271161,0.42796309,3.18E-08
0.317866305,0.537746624,3.18E-08
0.320827722,0.508812563,3.18E-08
0.395724706,0.432317591,3.18E-08
0.421134626,0.419379128,3.18E-08
0.36662765,0.445553869,3.18E-08
0.369811226,0.416198744,3.18E-08
0.681974342,0.677815615,3.18E-08
0.650310758,0.684116458,3.18E-08
0.141375435,0.074962427,3.18E-08
0.16417925,0.0642493,3.18E-08
0.165435585,0.089478527,3.18E-08
0.050744546,0.041190999,3.18E-08
0.0689991,0.01552575,3.18E-08
0.371432149,0.231509032,3.18E-08
0.39656385,0.2219833,3.18E-08
0.394006399,0.248234932,3.18E-08
0.650943489,0.714804117,3.18E-08
0.696363784,0.521052003,3.18E-08
0.701494777,0.492815087,3.18E-08
0.573676293,0.851283926,3.18E-08
0.5632196,0.8668893,3.18E-08
0.558690293,0.839942826,3.18E-08
0.23486655,0.136534986,3.18E-08
0.2586482,0.12507595,3.18E-08
0.25833615,0.151971836,3.18E-08
0.613120864,0.643383446,3.18E-08
0.623670347,0.61502693,3.18E-08
0.585382599,0.639779225,3.18E-08
0.851509908,0.633521531,3.18E-08
0.821657661,0.640990126,3.18E-08
0.411352119,0.535161916,3.18E-08
0.059518146,0.535512409,3.18E-08
0.0516636,0.55344695,3.18E-08
0.042296946,0.528000359,3.18E-08
0.413123043,0.505938326,3.18E-08
0.390519716,0.491128588,3.18E-08
0.269589391,0.445709631,3.18E-08
0.242751441,0.45167776,3.18E-08
0.202684762,0.319901247,3.18E-08
0.20563052,0.605387454,3.18E-08
0.186436,0.6199632,3.18E-08
0.18901892,0.596599054,3.18E-08
0.43597686,0.520515781,3.18E-08
0.83613254,0.688444121,3.18E-08
0.844301443,0.712936271,3.18E-08
0.02261873,0.199733999,3.18E-08
0.045607842,0.213006769,3.18E-08
0.279679368,0.167692102,3.18E-08
0.30508575,0.15669895,3.18E-08
0.302647318,0.183878252,3.18E-08
0.204998757,0.34883646,3.18E-08
0.182440718,0.335784238,3.18E-08
0.493169257,0.789370015,3.18E-08
0.47256065,0.79985235,3.18E-08
0.477935607,0.778365465,3.18E-08
0.764142776,0.553407884,3.18E-08
0.7919847,0.54806215,3.18E-08
0.271617662,0.643489259,3.18E-08
0.2520442,0.65662175,3.18E-08
0.255285462,0.634199209,3.18E-08
0.239176509,0.624026793,3.18E-08
0.2193798,0.63804165,3.18E-08
0.222844309,0.614736743,3.18E-08
0.620927861,0.84887835,3.18E-08
0.604115568,0.874108026,3.18E-08
